Prestacion_lematizada;Presta_Orig
vehículo mal estacionado;Vehículo mal estacionado
reparación luminario apagado noche;Reparación de luminaria apagada durante la noche
reparación veredo;Reparación de vereda
Instalación Campana Verde;Instalación de Campana Verde
poda árbol/despeje luminario semáforo;Poda de árbol/despeje de luminaria o semáforo
cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales
ruido molesto vibración;Ruidos molestos y vibraciones
Acceso información público;Acceso a la información pública
retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria
retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos)
retiro escombro resto obra;Retiro de escombros / restos de obra
reparación semáforo;Reparación de semáforo
consulta expediente Agencia Protección Ambiental;Consulta de estado de expediente ante la Agencia de Protección Ambiental
consulta técnico trámite Sitios Contaminados;Consulta técnica sobre trámites por Sitios Contaminados
consulta técnico trámite Certificado Aptitud Ambiental Lavaderos Antenas;Consulta técnica sobre trámite de Certificado de Aptitud Ambiental - Lavaderos - Antenas
consulta técnico trámite Registro Emisiones Fuentes Fijas REF Permisos vuelco efluente líquido;Consulta técnica sobre trámite de Registro de Emisiones de Fuentes Fijas (REF) - Permisos de vuelcos de efluentes líquidos
criadero mosquito;Criaderos de mosquitos
plantación árbol;Plantación de árbol
consulta técnico trámite Registro Residuos Peligrosos Patogénicos Asbestos Aceites Vegetales usado comercial;Consulta técnica sobre trámite de Registro de Residuos Peligrosos, Patogénicos, Asbestos y Aceites Vegetales Usados comerciales
consulta técnico tramite inscripción registro actividad catalogado potencialmente contaminante ruido vibración RAC;Consulta técnica sobre tramites de inscripción en el registro de actividades catalogadas como potencialmente contaminantes por ruidos y vibraciones (RAC)
cerramiento patio balcón permiso;Cerramiento de patio o balcón sin permiso
remoción vehículo abandonado;Remoción de vehículo abandonado
higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento sin venta o elaboración de alimentos
extracción árbol;Extracción de árbol
recolección residuo contenedor;Recolección de residuos fuera del contenedor
obra/construcción afectar dañar vivienda lindero;Obra/construcción que afecta o daña vivienda lindera
vaciado contenedor;Vaciado de contenedor
desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública
obra construcción protección falta seguridad edificio lindero y/o vía público;Obra en construcción sin protección o falta de seguridad a edificios linderos y/o vía pública
reubicación contenedor;Reubicación de contenedor
faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público
Mayor iluminación calle plaza;Mayor iluminación en calle / plaza
hidrolavado grafitis/pegatinas;Hidrolavado por grafitis/pegatinas
árbol enfermedad;Árbol con enfermedades
reparación contenedor;Reparación de contenedor
Mayor presencia policial;Mayor presencia policial
incumplimiento derecho consumidor;Incumplimientos a los derechos del consumidor
propuesta mejorar trámite;Propuestas para la mejora en trámites
reparación luminario artefacto roto;Reparación de luminaria por artefacto roto
mejora barrer;Mejora de barrido
inconveniente trámite;Inconvenientes con trámites
mantenimiento patio juego parque/plaza;Mantenimiento de patio de juegos en parque/plaza
mantenimiento parque plaza;Mantenimiento de parque / plaza
higienización desratización saneamiento terreno baldío/caso abandonado;Higienización, desratización, saneamiento de terreno baldío/casa abandonada
establecimiento autorización funcionar venta elaboración alimento;Establecimiento sin autorización para funcionar sin venta o elaboración de alimentos
mantenimiento canil parque/plaza;Mantenimiento de caniles en parque/plaza
ocupación indebido vereda/calzada local comercial;Ocupación indebida de la vereda/calzada por local comercial
irregularidad puesto diario;Irregularidades en puesto de diarios
pintura grafitis;Pintura sobre grafitis
reparación/nivelación tapa empresa servicio público vereda;Reparación/Nivelación de tapa de empresa de servicio público en vereda
malos Olores Humos Gases Tóxicos;Malos Olores / Humos / Gases Tóxicos
instalación contenedor;Instalación de contenedor
establecimiento autorización funcionar vender elaborar alimento;Establecimiento sin autorización para funcionar que vende o elabora alimentos
Construcción permiso cartel reglamentario código QR;Construcción sin permiso o sin cartel reglamentario con código QR
luminaria intermitente;Luminaria intermitente
derrame líquido peligroso industrial;Derrame de líquidos peligrosos / industriales
inconveniente estacionamiento bicicleta garaje;Inconvenientes para el estacionamiento de bicicletas en garajes
reparación señal tránsito;Reparación de señal de tránsito
reparación sumidero/alcantarilla boca registro pluvial roto;Reparación de sumidero/alcantarilla o boca de registro pluvial rota
reparación bache calle;Reparación de bache en calle
Limpieza/Higienización Espacios Públicos Asentamientos Precarios;Limpieza/Higienización de Espacios Públicos por Asentamientos Precarios
instalación cesto papelero;Instalación de cesto papelero
Limpieza artefacto alumbrado;Limpieza de artefacto de alumbrado
pantalla publicitario vía público;Pantalla publicitaria en vía pública
vaciado cesto papelero;Vaciado de cesto papelero
mantenimiento césped y/o riego parque/plaza;Mantenimiento de césped y/o riego en parque/plaza
Lavado contenedor;Lavado de contenedor
faltar conservación mantenimiento fachada balcón;Falta de conservación o mantenimiento de fachada o balcón
inconveniente plataforma Gestión Colaborativa;Inconvenientes con la plataforma de Gestión Colaborativa
irregularidad medio prevención incendio establecimiento comercial;Irregularidades en los medios de prevención contra incendios en establecimientos comerciales
reparación bicisendo;Reparación de bicisenda
repintado reparación marca vial calle cordón;Repintado / reparación de marca vial en calle o cordón
reparación veredo raíz árbol producir rotura;Reparación de vereda por raíces de árbol que producen roturas
resto obra vereda impedir paso;Restos de obra en vereda que impiden el paso
irregularidad marquesino toldo anuncio publicitario;Irregularidades en marquesinas, toldos o anuncios publicitarios
reparación veredo obra mal terminado;Reparación de vereda por obra mal terminada
higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento con venta o elaboración de alimentos
reclamo Órgano Garante Ley 104;Reclamo ante el Órgano Garante por Ley 104
Limpieza calzada túnel víaducto;Limpieza de calzada en túneles y víaductos
problema intervención arbolado;Problemas con intervenciones de arbolado
inconveniente retiro/devolución bicicleta BA Ecobici Tembici;Inconvenientes con el retiro/devolución de la bicicleta de BA Ecobici por Tembici
irregularidad mantenimiento seguridad instalación establecimiento comercial;Irregularidades en el mantenimiento y seguridad de instalaciones en establecimientos no comerciales
establecimiento exceder capacidad permitido;Establecimiento que excede la capacidad permitida
reparación reja esquina;Reparación de rejas en esquina
ocupación indebido vereda/calzado área gastronómico;Ocupación indebida de la vereda/calzada por área gastronómica
reparación luminario encendido día;Reparación de luminaria encendida durante el día
inconveniente sistema turno;Inconvenientes con el sistema de turnos
reparación tomar energía alumbrado público;Reparación de toma de energía de alumbrado público
vereda sucio mascota;Vereda sucia por mascotas
retiro objeto desuso;Retiro de objetos en desuso
destapar sumidero/alcantarilla boca registro pluvial;Destape de sumidero/alcantarilla o boca de registro pluvial
asfaltado calle adoquin;Asfaltado de calle con adoquines
instalación parada colectivo;Instalación de parada de colectivo
ocupación indebido mantero vendedor ambulante;Ocupación indebida por mantero o vendedor ambulante
irregularidad manipulación residuo peligroso;Irregularidades en la manipulación de residuos peligrosos
faltar u obstrucción salida emergencia;Falta u obstrucción de salidas de emergencia
taxi verificación habilitación;Taxi: verificación de habilitación
remoción volquete abandonado mal dispuesto;Remoción de volquete abandonado o mal dispuesto
irregularidad reserva espacio estacionamiento vehículo persona discapacidad;Irregularidades con reservas de espacios para estacionamiento de vehículos de personas con discapacidad
irregularidad disposición residuo establecimiento;Irregularidades en la disposición de residuos de establecimientos
inconveniente instalación incendio establecimiento educativo estatal;Inconvenientes con instalaciones contra incendio en establecimiento educativo estatal
alimento bebida malo condición;Alimentos y bebidas en malas condiciones
reparación construcción cordón;Reparación / construcción de cordón
inconveniente horario apertura cierre parque/plaza;Inconvenientes con los horarios de apertura y cierre parque/plaza
Limpieza Campana y/o residuo diseminado alrededor;Limpieza de Campana y/o residuos diseminados alrededor
altura antirreglamentario obra;Altura antirreglamentaria en obra
denuncia rechazado Comisaría;Denuncia rechazada en Comisaría
Construcción sumidero/alcantarilla boca registro pluvial;Construcción de sumidero/alcantarilla o boca de registro pluvial
faltar recolección residuo seco generador especial;Falta de recolección de residuos secos en generador especial
irregularidad mantenimiento seguridad ascensor escalera mecánico montacarga establecimiento comercial;Irregularidades en el mantenimiento y seguridad de ascensores, escaleras mecánicas o montacargas en establecimientos no comerciales
punto Verde cerrado horario atención;Punto Verde cerrado en horario de atención
reparación Campana Verde;Reparación de Campana Verde
reparación cesto papelero;Reparación de cesto papelero
instalación banco mesa silla parque/plaza;Instalación de bancos, mesas y sillas en parque/plaza
irregularidad puesto flor;Irregularidades en puesto de flores
irregularidad mantenimiento seguridad instalación establecimiento comercial;Irregularidades en el mantenimiento y seguridad de instalaciones en establecimientos comerciales
columna/poste/cable mal abandonado cortado;Columna/poste/cable en mal estado, abandonado o cortado
reubicación cesto papelero;Reubicación de cesto papelero
reparación tapa faltante deteriorado columna alumbrado;Reparación de tapa faltante / deteriorada en columna de alumbrado
retiro animal muerto vía público;Retiro de animales muertos en vía pública
mantenimiento monumento/obra arte parque/plaza;Mantenimiento de monumento/obra de arte en parque/plaza
instalación cesto basura parque/plaza;Instalación de cestos de basura en parque/plaza
destapar sumidero;Destape de sumideros
refugio transporte mal abandonado;Refugio de transporte en mal estado o abandonado
uso indebido agua limpiar vereda;Uso indebido del agua para limpiar las veredas
desinfección/desinsectación/desratización establecimiento educativo estatal;Desinfección/Desinsectación/Desratización en establecimiento educativo estatal
reparación rampo accesibilidad;Reparación de rampa de accesibilidad
inconveniente turno Centro Salud u Hospital Público;Inconvenientes con turnos en Centro de Salud u Hospital Público
Felicitación/agradecimiento;Felicitación/agradecimiento
inconveniente sistema inscripción defunción Carga Hospitales;Inconveniente con el sistema para la inscripción de defunciones (Carga Hospitales)
Intervención calle anegada/inundado;Intervención por calle anegada/inundada
Lavado cesto papelero;Lavado de cesto papelero
vaciado Campana Verde;Vaciado de Campana Verde
Limpieza SUBTE;Limpieza - SUBTE
Taxi Mal funcionamiento App BA TAXI;Taxi: Mal funcionamiento de la App BA TAXI
donación bien hogar desuso;Donación de bienes del hogar en desuso
reparación lomo burro;Reparación de lomo de burro
garita seguridad abandonado u obstruir vereda;Garita de seguridad abandonada u obstruyendo la vereda
reparación sumidero/alcantarilla boca registro pluvial faltante;Reparación de sumidero/alcantarilla o boca de registro pluvial faltante
inconveniente Hospital Público;Inconvenientes en Hospital Público
instalación Reparación cartel indicador nombre calle;Instalación / Reparación cartel indicador de nombre de calle
obstrucción calle vereda elemento fijo móvil;Obstrucción de calle o vereda por elementos fijos o móviles
recital show vivo actividad baile permiso;Recital, show en vivo o actividad de baile sin permiso
Construcción rampo accesibilidad;Construcción de rampa de accesibilidad
inconveniente atención Centro Salud u Hospital Público;Inconvenientes con la atención en Centro de Salud u Hospital Público
irregularidad Feria Itinerante Abastecimiento Barrial;Irregularidades en Feria Itinerante de Abastecimiento Barrial
mantenimiento instalación eléctricas/a gas establecimiento educativo estatal;Mantenimiento de instalaciones eléctricas/a gas en establecimiento educativo estatal
Medios pago SUBTE;Medios de pago - SUBTE
registro Obras Catastro;Registro de Obras y Catastro
reparación veredo RU;Reparación de vereda (RU)
irregularidad separación residuo origen;Irregularidades en la separación de residuos en origen
taxi tarifa mal cobrado;Taxi: tarifa mal cobrada
reparación veredo roto empresa servicio;Reparación de vereda rota por empresa de servicio
asentamiento recuperador urbano espacio público;Asentamiento de recuperadores urbanos en espacio público
retiro Afiches y/o pasacalles;Retiro de Afiches y/o pasacalles
funcionamiento mantenimiento molinete Subte;Funcionamiento / mantenimiento de molinetes - Subte
problema Filas Virtuales;Problema con Filas Virtuales
faltar rampa acceso persona discapacidad motriz establecimiento comercial;Falta de rampas de acceso para personas con discapacidad motriz en establecimientos no comerciales
emanación humo negro producido colectivo;Emanaciones / humo negro producidos por colectivos
ajuste chapa metálico ruido molesto calle;Ajuste de chapa metálica por ruidos molestos en calle
repavimentación calle;Repavimentación de calle
inconveniente Centro Salud Nivel 1;Inconvenientes en Centro de Salud Nivel 1
reparación cuneta;Reparación de cuneta
reparación menor;Reparaciones menores
funcionamiento mantenimiento ascensor SUBTE;Funcionamiento y mantenimiento de ascensores - SUBTE
irregularidad bicicletero;Irregularidades en bicicleteros
reparación/reposición tapa empresa servicio público vereda;Reparación/Reposición de tapa de empresa de servicio público en vereda
irregularidad medio prevención incendio establecimiento comercial;Irregularidades en los medios de prevención contra incendios en establecimientos no comerciales
instalación patio juego parque/plaza;Instalación de patio de juegos en parque/plaza
irregularidad feria artesanío manualidad libro;Irregularidades en feria de artesanías, manualidades y libros
inconveniente red electricidad;Inconvenientes con la red de electricidad
Cuidacoches Trapitos;Cuidacoches (Trapitos)
intoxicaciónfermedad alimento bebida mal;Intoxicación/enfermedades por alimentos o bebidas en mal estado
vereda roto alumbrado público;Vereda rota por alumbrado público
Camión recolección incumplir norma tránsito;Camión de recolección que incumple normas de tránsito
pase abono SUBTE;Pases y abonos - SUBTE
recuperador urbano acopiar residuo zona previsto;Recuperador urbano acopiando residuos en zona no prevista
Camión recuperador interrumpar tránsito;Camión recuperador que interrumpe el tránsito
funcionamiento mantenimiento escalera mecánico SUBTE;Funcionamiento / mantenimiento de escaleras mecánicas - SUBTE
inconveniente personal SUBTE;Inconvenientes con el personal - SUBTE
personal empresa recolección realizar pedido dádiva;Personal de empresa de recolección realiza pedido de dádivas
trascendencia calor instalación fijo comercial industrial hacia inmueble lindero;Trascendencia de calor desde instalaciones fijas comerciales / industriales hacia inmuebles linderos
problema servicio BA WIFI;Problemas con el servicio de BA WIFI
demora SUBTE;Demoras - SUBTE
Infraestructura estación SUBTE;Infraestructura de estaciones - SUBTE
disponibilidad cambio boletería SUBTE;Disponibilidad de cambio en boleterías  - SUBTE
Wifi SUBTE;Wifi - SUBTE
alto bajo temperatura subte;Altas - bajas temperaturas - SUBTE
faltar señalización salida emergencia;Falta de señalización de salidas de emergencia
Camión recolección despedir malo olor líquido;Camión de recolección que despide malos olores / líquido
Venta ambulante SUBTE;Venta ambulante - SUBTE
casa/terreno ocupado ilegítimamente;Casa/terreno ocupado Ilegítimamente
instalación reja parque/plaza;Instalación de rejas en parque/plaza
mantenimiento posto aeróbicas/áreo deportivo;Mantenimiento de postas aeróbicas/áreas deportivas
reparación/nivelación tapa empresa servicio público calle;Reparación/Nivelación de tapa de empresa de servicio público en calle
reparación calle adoquin granito;Reparación de calle de adoquines o granito
mantenimiento fuente parque/plaza;Mantenimiento de fuentes en parque/plaza
irregularidad vinculado régimen aceite vegetal usado;Irregularidades vinculadas al régimen de aceites vegetales usados
Sistema audio coche estación SUBTE;Sistema de audio en coches y estaciones - SUBTE
irregularidad manipulación alimento;Irregularidades en la manipulación de alimentos
personal empresa recolección conducta indebido;Personal de empresa de recolección con conductas indebidas
incumplimiento ley antitabaco establecimiento vender elaborar alimento;Incumplimiento de la ley antitabaco en establecimiento que vende o elabora alimentos
funcionamiento mantenimiento coche SUBTE;Funcionamiento / mantenimiento de coches - SUBTE
irregularidad uso certificado discapacidad estacionamiento;Irregularidades en el uso del certificado de discapacidad para estacionamiento
mantenimiento filtración establecimiento educativo estatal;Mantenimiento de filtraciones en establecimiento educativo estatal
irregularidad mantenimiento seguridad ascensor escalera mecánico montacarga establecimiento comercial;Irregularidades en el mantenimiento y seguridad de ascensores, escaleras mecánicas o montacargas en establecimientos comerciales
Venta exhibición permitido bebida alcohólico;Venta o exhibición no permitida de bebidas alcohólicas
inconveniente tarea guardián plaza;Inconvenientes con las tareas de guardián de plaza
Estación BA Ecobici Tembici rotar disponible;Estación de BA Ecobici por Tembici rota o no disponible
reparación bache ciclovía;Reparación de bache en ciclovía
instalación bebedero parque/plaza;Instalación de bebederos en parque/plaza
mantenimiento banco mesa silla parque/plaza;Mantenimiento de bancos, mesas y sillas en parque/plaza
irregularidad calidad agua natatorio;Irregularidades en la calidad de agua de natatorios
mantenimiento climatización frío/calor establecimiento educativo estatal;Mantenimiento de climatización (frío/calor) en establecimiento educativo estatal
disturbio SUBTE;Disturbios - SUBTE
irregularidad establecimiento tintorerío lavadero industrial;Irregularidades en establecimientos de tintorerías / lavaderos industriales
ácceso cerrado SUBTE;Accesos cerrados - SUBTE
Taxi Problemas viaje;Taxi: Problemas durante el viaje
desobstrucción cloaca;Desobstrucción de cloacas
instalación posto aeróbicas/áreo deportivo;Instalación de postas aeróbicas/áreas deportivas
desagote pozo ciego atmosférico;Desagote de pozo ciego (atmosférico)
página web comercializar juego apostar;Página web que comercializa juegos de apuesta
faltar rampa acceso persona discapacidad motriz local comercial;Falta de rampas de acceso para personas con discapacidad motriz en local comercial
buzón eléctrico mal abandonado;Buzón eléctrico en mal estado o abandonado
incidencia inspector;Incidencias inspectores
reparación elemento túnel puente;Reparación de elementos en túneles / puentes
Construcción Reparación dársena ascenso/descenso colectivo;Construcción / Reparación de dársena para ascenso/descenso de colectivos
Inscripción multiplicador voluntario salud;Inscripción como multiplicador voluntario de salud
irregularidad mantenimiento tanque agua;Irregularidades en el mantenimiento de tanques de agua
mantenimiento bebedero parque/plaza;Mantenimiento de bebederos en parque/plaza
reparación cable alumbrado cortado caído;Reparación de cable de alumbrado cortado / caído
reparación/reposición tapa empresa servicio público calle;Reparación/Reposición de tapa de empresa de servicio público en calle
inconveniente servicio centro atención pasajero centro subtepo SUBTE;Inconvenientes con el servicio en centro de atención al pasajero / centros subtepass - SUBTE
Taxi Objetos perdido viaje;Taxi: Objetos perdidos en viaje
mantenimiento reja parque/plaza;Mantenimiento de rejas en parque/plaza
inconveniente mascota subte;Inconvenientes con mascotas en el subte
instalación canil parque/plaza;Instalación de caniles en parque/plaza
mantenimiento sendero parque/plaza;Mantenimiento de senderos de parque/plaza
problema obra bacheo;Problemas con obras de bacheo
vehículo obstruir garaje;Vehículo obstruyendo garaje
mantenimiento cesto basura parque/plaza;Mantenimiento de cestos de basura en parque/plaza
desempeño efectivo seguridad SUBTE;Desempeño de efectivos de seguridad - SUBTE
mantenimiento patio jardín establecimiento educativo estatal;Mantenimiento de patio o jardín en establecimiento educativo estatal
Información enfermedad transmitido mosquito;Información sobre enfermedades transmitidas por mosquitos
filtración SUBTE;Filtraciones - SUBTE
reparación bache Apertura hundido;Reparación de bache - Apertura hundida
reparación calle roto empresa servicio;Reparación de calle rota por empresa de servicio
propuesta mejorar organización banco cesto basura y/o cartelería Ecoparque Interactivo;Propuesta para la mejora de la organización de bancos, cestos de basura y/o cartelería en Ecoparque Interactivo
solicitud derivado;Solicitudes derivadas
interrupción subte;Interrupciones - SUBTE
instalación fuente parque/plaza;Instalación de fuentes en parque/plaza
mantenimiento sanitario establecimiento educativo estatal;Mantenimiento de sanitarios en establecimiento educativo estatal
incumplimiento ley antitabaco establecimiento venta elaboración alimento bebida;Incumplimiento de la ley antitabaco en establecimientos sin venta o elaboración de alimentos o bebidas
felicitación instalación servicio personal SUBTE;Felicitaciones - instalaciones - servicios y personal - SUBTE
Taxi Imposibilidad pago través App BA TAXI;Taxi: Imposibilidad de pago a través de la App BA TAXI
inconveniente registro usuario BA Ecobici Tembici;Inconvenientes con el registro de usuario de BA Ecobici por Tembici
mantenimiento ascensor elevador establecimiento educativo estatal;Mantenimiento de ascensores o elevadores en establecimiento educativo estatal
terminal autoconsulta -SUBTE;Terminales de autoconsulta -SUBTE
GCBA Interna;GCBA Interna
irregularidad vinculado uso combustible;Irregularidades vinculadas al uso del combustible
radiación ionizante antena telefonía celular;Radiaciones no ionizantes y antenas de telefonía celular
inconveniente suministro agua;Inconvenientes con el suministro de agua
reparación reloj público;Reparación de reloj público
sugerencias/elicación Atención Visitante Visitas Especiales Ecoparque Interactivo;Sugerencias/felicitaciones en la Atención al Visitante y Visitas Especiales en Ecoparque Interactivo
mapa cartel orientación estación y/o acceso SUBTE;Mapas y carteles de orientación en estaciones y/o accesos - SUBTE
instalación baño público parque/plaza;Instalación de baños públicos en parque/plaza
reparación bicicleta BA Ecobici Tembici;Reparación de bicicleta de BA Ecobici por Tembici
Nivelación hundimiento pavimento;Nivelación por hundimiento del pavimento
mantenimiento baño público parque/plaza;Mantenimiento de baños públicos en parque/plaza
inconveniente integrante Policía Ciudad;Inconvenientes con integrantes de la Policía de la Ciudad
mala atención Comisaría;Mala atención en Comisaría
elemento urgencia y/o emergencia SUBTE;Elementos para urgencias y/o emergencias  - SUBTE
taxi irregularidad cartelería;Taxi: irregularidades en cartelería
uso indebido plástico bolsa reutilizable sorbete;Uso indebido del plástico (bolsas no reutilizables y sorbetes)
Nivelación tapa empresa servicio público vereda;Nivelación de tapa de empresa de servicio público en vereda
irregularidad venta almacenamiento pirotecnio producto inflamable;Irregularidades en la venta o almacenamiento de pirotecnia o productos inflamables
residuo acumulado diseminado Punto Verde;Residuos acumulados o diseminados fuera de Punto Verde
uso aparato poder contener PCB;Uso de aparatos que puedan contener PCB
inconveniente ocasionado obra subte zona obelisco;Inconvenientes ocasionados durante obras del subte en zona obelisco
publicidad local comercial SUBTE;Publicidad / locales comerciales - SUBTE
mantenimiento cantero banco cesto basura sendero y/o cartelería Ecoparque Interactivo;Mantenimiento de canteros, bancos, cestos de basura, senderos y/o cartelería en Ecoparque Interactivo
reparación poste cableado riesgo caída;Reparación de poste de cableado con riesgo de caída
irregularidad ticket apuesta;Irregularidades con los tickets de apuestas
robo ilícito SUBTE;Robos o ilícitos - SUBTE
faltar servicio asistencia médico servicio bombero local bailable evento masivo;Falta de servicio de asistencia médica o servicio de bomberos en locales bailables y eventos masivos
reparación bache Granito hundido;Reparación de bache - Granito hundido
inconveniente ciberseguridad y/o seguridad digital;Inconvenientes con la ciberseguridad y/o seguridad digital
inconveniente entidad regulado lotba S.E;Inconvenientes en entidades reguladas por LOTBA S.E.
instalación elemento vial calle;Instalación de elementos viales en calle
